,movies
4453,"In the blue sea, in the white foam. (1984)"
4454,Wolf and Calf (1984)
4455,Bobik Visiting Barbos (1977)
4456,The Magic Ring (1982)
4457,Dave Chappelle: Killin' Them Softly (2000)
4458,Loving Vincent (2017)
4459,English Vinglish (2012)
4460,Blue in the Face (1995)
4461,Mrs. Dalloway (1997)
4462,"Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar) (1998)"
4463,"Five Senses, The (1999)"
4464,"House of Mirth, The (2000)"
4465,3000 Miles to Graceland (2001)
4466,Heist (2001)
4467,Iris (2001)
4468,"Majestic, The (2001)"
4469,Charlotte Gray (2001)
4470,"Truly, Madly, Deeply (1991)"
4471,Italian for Beginners (Italiensk for begyndere) (2000)
4472,Monsoon Wedding (2001)
4473,Joe Versus the Volcano (1990)
4474,Three Men and a Little Lady (1990)
4475,Enigma (2001)
4476,Thirteen Conversations About One Thing (a.k.a. 13 Conversations) (2001)
4477,Lovely & Amazing (2001)
4478,My Wife is an Actress (Ma Femme est une Actrice) (2001)
4479,Solaris (2002)
4480,Ethan Frome (1993)
4481,New Jersey Drive (1995)
4482,Backbeat (1993)
4483,"Scout, The (1994)"
4484,Rivers and Tides (2001)
4485,Play Time (a.k.a. Playtime) (1967)
4486,C.R.A.Z.Y. (2005)
4487,Kurt & Courtney (1998)
4488,Varsity Blues (1999)
4489,Little Nicky (2000)
4490,Heartbreakers (2001)
4491,Joe Dirt (2001)
4492,Wet Hot American Summer (2001)
4493,Out Cold (2001)
4494,Orange County (2002)
4495,"New Guy, The (2002)"
4496,"Master of Disguise, The (2002)"
4497,Blue Crush (2002)
4498,Swimfan (2002)
4499,"Hot Chick, The (2002)"
4500,Dumb and Dumberer: When Harry Met Lloyd (2003)
4501,Pumping Iron (1977)
4502,Thirteen (2003)
4503,"Punisher, The (2004)"
4504,White Chicks (2004)
4505,Guess Who (2005)
4506,"Dukes of Hazzard, The (2005)"
4507,Deuce Bigalow: European Gigolo (2005)
4508,Just Friends (2005)
4509,Rumor Has It... (2005)
4510,"Benchwarmers, The (2006)"
4511,Scary Movie 4 (2006)
4512,Beerfest (2006)
4513,Jackass Number Two (2006)
4514,Tenacious D in The Pick of Destiny (2006)
4515,Balls of Fury (2007)
4516,Good Luck Chuck (2007)
4517,"Heartbreak Kid, The (2007)"
4518,August Rush (2007)
4519,Walk Hard: The Dewey Cox Story (2007)
4520,Semi-Pro (2008)
4521,Super High Me (2007)
4522,"Rocker, The (2008)"
4523,My Best Friend's Girl (2008)
4524,Sex Drive (2008)
4525,Bride Wars (2009)
4526,Year One (2009)
4527,"Goods: Live Hard, Sell Hard, The (2009)"
4528,Miss March (2009)
4529,Jennifer's Body (2009)
4530,Couples Retreat (2009)
4531,Law Abiding Citizen (2009)
4532,Legion (2010)
4533,I Love You Phillip Morris (2009)
4534,Cop Out (2010)
4535,Sex and the City 2 (2010)
4536,Get Him to the Greek (2010)
4537,Dinner for Schmucks (2010)
4538,Jackass 2.5 (2007)
4539,Little Fockers (2010)
4540,Hall Pass (2011)
4541,Just Go with It (2011)
4542,Mr. Popper's Penguins (2011)
4543,Your Highness (2011)
4544,Zookeeper (2011)
4545,"Sitter, The (2011)"
4546,One for the Money (2012)
4547,Project X (2012)
4548,Goon (2011)
4549,American Reunion (American Pie 4) (2012)
4550,Dark Shadows (2012)
4551,Wanderlust (2012)
4552,"Watch, The (2012)"
4553,That's My Boy (2012)
4554,Frankenweenie (2012)
4555,Jackass 3.5 (2011)
4556,Warm Bodies (2013)
4557,Movie 43 (2013)
4558,Jim Jefferies: Fully Functional (EPIX) (2012)
4559,"Croods, The (2013)"
4560,Epic (2013)
4561,Grown Ups 2 (2013)
4562,Maria Bamford: The Special Special Special! (2012)
4563,"Family, The (2013)"
4564,GLOW: The Story of the Gorgeous Ladies of Wrestling (2012)
4565,"Honest Liar, An (2014)"
4566,"Other Woman, The (2014)"
4567,"Haunted House 2, A (2014)"
4568,Walk of Shame (2014)
4569,Tammy (2014)
4570,Dumb and Dumber To (2014)
4571,Bill Burr: I'm Sorry You Feel That Way (2014)
4572,Bill Burr: You People Are All the Same (2012)
4573,Bill Burr: Let It Go (2010)
4574,Bill Burr: Why Do I Do This? (2008)
4575,Sebastian Maniscalco: What's Wrong with People? (2012)
4576,Jim Jefferies: I Swear to God (2009)
4577,Experimenter (2015)
4578,Going Clear: Scientology and the Prison of Belief (2015)
4579,Family Guy Presents: Blue Harvest (2007)
4580,Jim Norton: American Degenerate (2013)
4581,Jim Jefferies: BARE (2014)
4582,Tom Segura: Completely Normal (2014)
4583,Hot Tub Time Machine 2 (2015)
4584,Unfinished Business (2015)
4585,The Cobbler (2015)
4586,Trevor Noah: African American (2013)
4587,Pixels (2015)
4588,The Secret Life of Pets (2016)
4589,Gabriel Iglesias: Hot and Fluffy (2007)
4590,Kevin Hart: Laugh at My Pain (2011)
4591,Jeff Dunham: All Over the Map (2014)
4592,Vacation (2015)
4593,The Night Before (2015)
4594,Confessions of a Dangerous Mind (2002)
4595,The Ridiculous 6 (2015)
4596,How to Be Single (2016)
4597,Mr. Right (2016)
4598,Get a Job (2016)
4599,Neighbors 2: Sorority Rising (2016)
4600,The Boss (2016)
4601,Snowden (2016)
4602,Alice Through the Looking Glass (2016)
4603,Ali Wong: Baby Cobra (2016)
4604,The Do-Over (2016)
4605,Popstar: Never Stop Never Stopping (2016)
4606,Ghostbusters (2016)
4607,Central Intelligence (2016)
4608,O.J.: Made in America (2016)
4609,Jim Jefferies: Freedumb (2016)
4610,Bad Moms (2016)
4611,Tom Segura: Mostly Stories (2016)
4612,Masterminds (2016)
4613,The Girl on the Train (2016)
4614,Keeping Up with the Joneses (2016)
4615,Joe Rogan: Triggered (2016)
4616,Bad Santa 2 (2016)
4617,Ice Guardians (2016)
4618,Risk (2016)
4619,The True Memoirs of an International Assassin (2016)
4620,Moana (2016)
4621,Fist Fight (2017)
4622,The Lego Batman Movie (2017)
4623,Joe Rogan: Live (2006)
4624,The Big Sick (2017)
4625,The Boss Baby (2017)
4626,Bill Burr: Walk Your Way Out (2017)
4627,Neal Brennan: 3 Mics (2017)
4628,Dave Chappelle: The Age of Spin (2017)
4629,CHiPS (2017)
4630,Table 19 (2017)
4631,Baywatch (2017)
4632,Snatched (2017)
4633,Sandy Wexler (2017)
4634,Win It All (2017)
4635,Cars 3 (2017)
4636,"Nobody Speak: Hulk Hogan, Gawker and Trials of a Free Press (2017)"
4637,Maria Bamford: Old Baby
4638,Rough Night (2017)
4639,Generation Iron 2
4640,Saved by the Bell: Hawaiian Style (1992)
4641,Despicable Me 3 (2017)
4642,"Norm Macdonald: Hitler's Dog, Gossip & Trickery (2017)"
4643,Goon: Last of the Enforcers (2017)
4644,The House (2017)
4645,Rory Scovel Tries Stand-Up for the First Time (2017)
4646,Ari Shaffir: Double Negative (2017)
4647,Gaga: Five Foot Two (2017)
4648,Dane Cook: Troublemaker (2014)
4649,A Bad Moms Christmas (2017)
4650,Jim & Andy: The Great Beyond (2017)
4651,Lynne Koplitz: Hormonal Beast (2017)
4652,Craig Ferguson: Tickle Fight (2017)
4653,Judd Apatow: The Return (2017)
4654,Dave Chappelle: Equanimity (2017)
4655,Dave Chappelle: The Bird Revelation (2017)
4656,Tom Segura: Disgraceful (2018)
4657,When We First Met (2018)
4658,Making a Murderer (2015)
4659,Fair Game (1995)
4660,'Til There Was You (1997)
4661,To Gillian on Her 37th Birthday (1996)
4662,Cop Land (1997)
4663,She's So Lovely (1997)
4664,Great Expectations (1998)
4665,Chinese Box (1997)
4666,High Art (1998)
4667,Who's Afraid of Virginia Woolf? (1966)
4668,Return to Paradise (1998)
4669,Living Out Loud (1998)
4670,52 Pick-Up (1986)
4671,"Morning After, The (1986)"
4672,"Thomas Crown Affair, The (1968)"
4673,"Minus Man, The (1999)"
4674,"Man and a Woman, A (Un homme et une femme) (1966)"
4675,Shampoo (1975)
4676,Stanley & Iris (1990)
4677,"Star Is Born, A (1937)"
4678,Agnes of God (1985)
4679,To Sir with Love (1967)
4680,Where the Money Is (2000)
4681,What Ever Happened to Baby Jane? (1962)
4682,Saving Grace (2000)
4683,She's Having a Baby (1988)
4684,Prelude to a Kiss (1992)
4685,Best Seller (1987)
4686,Maid to Order (1987)
4687,Dope (2015)
4688,Deathgasm (2015)
4689,A Street Cat Named Bob (2016)
4690,Lightning Jack (1994)
4691,Detroit Rock City (1999)
4692,13 Ghosts (1960)
4693,"20,000 Leagues Under the Sea (1916)"
4694,"Misérables, Les (1995)"
4695,Eddie (1996)
4696,Garfield: A Tail of Two Kitties (2006)
4697,Berlin Calling (2008)
4698,"Mechanic, The (2011)"
4699,Madagascar 3: Europe's Most Wanted (2012)
4700,Jack Reacher (2012)
4701,"Great Beauty, The (Grande Bellezza, La) (2013)"
4702,"I, Frankenstein (2014)"
4703,Mr. Peabody & Sherman (2014)
4704,Fading Gigolo (2013)
4705,Transcendence (2014)
4706,"Signal, The (2014)"
4707,Camp X-Ray (2014)
4708,Dracula Untold (2014)
4709,Citizenfour (2014)
4710,Paddington (2014)
4711,Taken 3 (2015)
4712,Eden (2014)
4713,Wild Card (2015)
4714,"Gunman, The (2015)"
4715,That Sugar Film (2014)
4716,Last Knights (2015)
4717,The Last Witch Hunter (2015)
4718,Steve Jobs (2015)
4719,Search Party (2014)
4720,13 Hours (2016)
4721,Victor Frankenstein (2015)
4722,Lion (2016)
4723,Inglorious Bastards (Quel maledetto treno blindato) (1978)
4724,"Time Traveler's Wife, The (2009)"
4725,Surrogates (2009)
4726,Robin Hood (2010)
4727,Safety Not Guaranteed (2012)
4728,Dredd (2012)
4729,Seven Psychopaths (2012)
4730,"Babadook, The (2014)"
4731,What We Do in the Shadows (2014)
4732,It Follows (2014)
4733,Bone Tomahawk (2015)
4734,"Taking of Pelham 1 2 3, The (2009)"
4735,Unstoppable (2010)
4736,"Equalizer, The (2014)"
4737,The Great Hypnotist (2014)
4738,Naked (1993)
4739,Live Flesh (Carne trémula) (1997)
4740,Birdy (1984)
4741,Barfly (1987)
4742,Happy Accidents (2000)
4743,Titanica (1992)
4744,"Going Places (Valseuses, Les) (1974)"
4745,Interstate 60 (2002)
4746,Last Tango in Paris (Ultimo tango a Parigi) (1972)
4747,"Dreamers, The (2003)"
4748,Arizona Dream (1993)
4749,Bullet in the Head (1990)
4750,Thursday (1998)
4751,Cube 2: Hypercube (2002)
4752,Between Your Legs (Entre las piernas) (1999)
4753,Revolver (2005)
4754,"Pink Panther, The (2006)"
4755,Art School Confidential (2006)
4756,"Boss of It All, The (Direktøren for det hele) (2006)"
4757,Sleuth (2007)
4758,Funny Games U.S. (2007)
4759,Crows Zero (Kurôzu zero) (2007)
4760,Revolutionary Road (2008)
4761,"Timecrimes (Cronocrímenes, Los) (2007)"
4762,Observe and Report (2009)
4763,"Limits of Control, The (2009)"
4764,Thirst (Bakjwi) (2009)
4765,World's Greatest Dad (2009)
4766,"Invention of Lying, The (2009)"
4767,Blood: The Last Vampire (2009)
4768,Repo Men (2010)
4769,Unthinkable (2010)
4770,Ip Man 2 (2010)
4771,Confessions (Kokuhaku) (2010)
4772,Idiots and Angels (2008)
4773,Conan the Barbarian (2011)
4774,"Three Musketeers, The (2011)"
4775,Violet & Daisy (2011)
4776,Friends with Kids (2011)
4777,"Revenant, The (2009)"
4778,Perfect Sense (2011)
4779,God Bless America (2011)
4780,Take This Waltz (2011)
4781,Some Guy Who Kills People (2011)
4782,Killer Joe (2011)
4783,Redline (2009)
4784,John Dies at the End (2012)
4785,Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) (2013)
4786,Oz the Great and Powerful (2013)
4787,High School (2010)
4788,Me and you (io e te) (2012)
4789,Locke (2013)
4790,Dawn of the Planet of the Apes (2014)
4791,In the Heart of the Sea (2015)
4792,Warcraft (2016)
4793,Project Almanac (2015)
4794,Insurgent (2015)
4795,Libre et assoupi (2014)
4796,The Road Within (2014)
4797,B/W (2015)
4798,The Lobster (2015)
4799,Independence Day: Resurgence (2016)
4800,Anomalisa (2015)
4801,Scouts Guide to the Zombie Apocalypse (2015)
4802,High Rise (2015)
4803,The Brand New Testament (2015)
4804,Hardcore Henry (2015)
4805,Those Happy Days (2006)
4806,Parasyte: Part 1 (2014)
4807,Parasyte: Part 2 (2015)
4808,Pride and Prejudice and Zombies (2016)
4809,Garm Wars: The Last Druid (2014)
4810,Eddie the Eagle (2016)
4811,The Survivalist (2015)
4812,Whiskey Tango Foxtrot (2016)
4813,The Brothers Grimsby (2016)
4814,War and Peace (2016)
4815,Hunt for the Wilderpeople (2016)
4816,The Neon Demon (2016)
4817,Everybody Wants Some (2016)
4818,Sing Street (2016)
4819,The Handmaiden (2016)
4820,Swiss Army Man (2016)
4821,The Fundamentals of Caring (2016)
4822,The Legend of Tarzan (2016)
4823,Don't Breathe (2016)
4824,Elle (2016)
4825,Train to Busan (2016)
4826,Kubo and the Two Strings (2016)
4827,Night Guards (2016)
4828,The Good Boy (2016)
4829,T2: Trainspotting (2017)
4830,Shall We Dance (1937)
4831,Ferngully: The Last Rainforest (1992)
4832,"Last Unicorn, The (1982)"
4833,Final Fantasy VII: Advent Children (2004)
4834,Narc (2002)
4835,Faster Pussycat! Kill! Kill! (1965)
4836,Kika (1993)
4837,Blue Juice (1995)
4838,"Pillow Book, The (1996)"
4839,Lolita (1962)
4840,Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) (1988)
4841,Get Over It (2001)
4842,Crush (2001)
4843,24 Hour Party People (2002)
4844,My Girl 2 (1994)
4845,My Girl (1991)
4846,"Hours, The (2002)"
4847,Piglet's Big Movie (2003)
4848,Lilya 4-Ever (Lilja 4-ever) (2002)
4849,Videodrome (1983)
4850,"Bang, Bang, You're Dead (2002)"
4851,Bad Education (La mala educación) (2004)
4852,Porco Rosso (Crimson Pig) (Kurenai no buta) (1992)
4853,"Cat Returns, The (Neko no ongaeshi) (2002)"
4854,Volver (2006)
4855,"Science of Sleep, The (La science des rêves) (2006)"
4856,Street Fighter (1994)
4857,Mother Night (1996)
4858,Murder at 1600 (1997)
4859,Crash (1996)
4860,Problem Child (1990)
4861,Jagged Edge (1985)
4862,Beyond the Mat (1999)
4863,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972)
4864,House of Games (1987)
4865,I'm Gonna Git You Sucka (1988)
4866,"Adventures of Baron Munchausen, The (1988)"
4867,They Live (1988)
4868,K-9 (1989)
4869,Penn & Teller Get Killed (1989)
4870,SpaceCamp (1986)
4871,Jade (1995)
4872,"Prophecy, The (1995)"
4873,"Man for All Seasons, A (1966)"
4874,Hands on a Hard Body (1996)
4875,Gilda (1946)
4876,"Decline of Western Civilization, The (1981)"
4877,"Magnificent Ambersons, The (1942)"
4878,"Last Waltz, The (1978)"
4879,Ben-Hur: A Tale of the Christ (1925)
4880,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)"
4881,Aileen: Life and Death of a Serial Killer (2003)
4882,"Tinker, Tailor, Soldier, Spy (1979)"
4883,"Music Man, The (1962)"
4884,Twin Dragons (Shuang long hui) (1992)
4885,Drunken Master (Jui kuen) (1978)
4886,"Forbidden Kingdom, The (2008)"
4887,King Arthur (2004)
4888,Red Rock West (1992)
4889,Cape Fear (1962)
4890,Ghosts of Mississippi (1996)
4891,Rosewood (1997)
4892,Switchback (1997)
4893,"Horse Whisperer, The (1998)"
4894,In the Heat of the Night (1967)
4895,Chariots of Fire (1981)
4896,Tender Mercies (1983)
4897,"Journey of Natty Gann, The (1985)"
4898,Runaway Train (1985)
4899,True Crime (1999)
4900,Hideous Kinky (1998)
4901,Limbo (1999)
4902,Head On (1998)
4903,Three Days of the Condor (3 Days of the Condor) (1975)
4904,"Mystery, Alaska (1999)"
4905,Music of the Heart (1999)
4906,"They Shoot Horses, Don't They? (1969)"
4907,Felicia's Journey (1999)
4908,McCabe & Mrs. Miller (1971)
4909,Ride with the Devil (1999)
4910,Snow Falling on Cedars (1999)
4911,"Bridge at Remagen, The (1969)"
4912,Jennifer 8 (1992)
4913,Whipped (2000)
4914,"Fabulous Baker Boys, The (1989)"
4915,Lonely Are the Brave (1962)
4916,Cat Ballou (1965)
4917,Under Suspicion (2000)
4918,You Can Count on Me (2000)
4919,"Eagle Has Landed, The (1976)"
4920,Proof of Life (2000)
4921,All the Pretty Horses (2000)
4922,"Claim, The (2000)"
4923,"Alamo, The (1960)"
4924,"Pledge, The (2001)"
4925,15 Minutes (2001)
4926,Lilies of the Field (1963)
4927,"Dish, The (2001)"
4928,"Tailor of Panama, The (2001)"
4929,Brigham City (2001)
4930,"Luzhin Defence, The (2000)"
4931,Driven (2001)
4932,"Sand Pebbles, The (1966)"
4933,Von Ryan's Express (1965)
4934,Dr. Dolittle 2 (2001)
4935,Return to Snowy River (a.k.a. The Man From Snowy River II) (1988)
4936,"Man from Snowy River, The (1982)"
4937,Chocolat (1988)
4938,Osmosis Jones (2001)
4939,Captain Corelli's Mandolin (2001)
4940,Summer Catch (2001)
4941,Father Goose (1964)
4942,"It's a Mad, Mad, Mad, Mad World (1963)"
4943,Max Keeble's Big Move (2001)
4944,"Competition, The (1980)"
4945,Fiddler on the Roof (1971)
4946,"Last Castle, The (2001)"
4947,Little Women (1933)
4948,Joe Somebody (2001)
4949,"Shipping News, The (2001)"
4950,Rookie of the Year (1993)
4951,Hart's War (2002)
4952,Hopscotch (1980)
4953,Stolen Summer (2002)
4954,High Crimes (2002)
4955,Full Moon in Blue Water (1988)
4956,Iron Will (1994)
4957,Mountains of the Moon (1990)
4958,Hombre (1967)
4959,Blood Work (2002)
4960,City by the Sea (2002)
4961,"Four Feathers, The (2002)"
4962,Tom Horn (1980)
4963,The Emperor's Club (2002)
4964,Eight Crazy Nights (Adam Sandler's Eight Crazy Nights) (2002)
4965,Zulu (1964)
4966,Evelyn (2002)
4967,Dark Blue (2003)
4968,Tears of the Sun (2003)
4969,Talent for the Game (1991)
4970,"Good Thief, The (2002)"
4971,"Winged Migration (Peuple migrateur, Le) (2001)"
4972,Nevada Smith (1966)
4973,"Flight of the Phoenix, The (1965)"
4974,Ikiru (1952)
4975,Where Eagles Dare (1968)
4976,"Missing, The (2003)"
4977,Bullitt (1968)
4978,Cheaper by the Dozen (2003)
4979,Hidalgo (2004)
4980,"Seducing Doctor Lewis (Grande séduction, La) (2003)"
4981,Ugetsu (Ugetsu monogatari) (1953)
4982,Point Blank (1967)
4983,Fist of Legend (Jing wu ying xiong) (1994)
4984,"Interpreter, The (2005)"
4985,Because of Winn-Dixie (2005)
4986,"Pacifier, The (2005)"
4987,Stealth (2005)
4988,Four Brothers (2005)
4989,Flightplan (2005)
4990,Dreamer: Inspired by a True Story (2005)
4991,Cheaper by the Dozen 2 (2005)
4992,Glory Road (2006)
4993,Eight Below (2006)
4994,"Shaggy Dog, The (2006)"
4995,Miami Vice (2006)
4996,"Nativity Story, The (2006)"
4997,Freedom Writers (2007)
4998,"Lizzie McGuire Movie, The (2003)"
4999,Uptown Girls (2003)
5000,Win a Date with Tad Hamilton! (2004)
5001,Confessions of a Teenage Drama Queen (2004)
5002,"Bill Cosby, Himself (1983)"
5003,Ice Princess (2005)
5004,Just Like Heaven (2005)
5005,Letters to Juliet (2010)
5006,Stuck in Love (2012)
5007,Jalla! Jalla! (2000)
5008,Rise of the Guardians (2012)
5009,Piper (2016)
5010,"Blob, The (1958)"
5011,"Cat from Outer Space, The (1978)"
5012,Return from Witch Mountain (1978)
5013,Sudden Death (1995)
5014,Big Bully (1996)
5015,Theodore Rex (1995)
5016,Larger Than Life (1996)
5017,House Arrest (1996)
5018,Bogus (1996)
5019,Metro (1997)
5020,Everything Is Illuminated (2005)
5021,Wristcutters: A Love Story (2006)
5022,"Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008)"
5023,Heartbeats (Les amours imaginaires) (2010)
5024,Room in Rome (Habitación en Roma) (2010)
5025,Oh Boy (A Coffee in Berlin) (2012)
5026,Disconnect (2012)
5027,Blue Is the Warmest Color (La vie d'Adèle) (2013)
5028,Honey (Miele) (2013)
5029,Güeros (2014)
5030,There Will Come a Day (2013)
5031,The Wait (2015)
5032,War for the Planet of the Apes (2017)
5033,Lady Bird (2017)
5034,Wonder Wheel (2017)
5035,"Fast Five (Fast and the Furious 5, The) (2011)"
5036,Furious 7 (2015)
5037,Children of the Revolution (1996)
5038,Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991)
5039,Armour of God (Long xiong hu di) (1987)
5040,Snow Day (2000)
5041,"Tigger Movie, The (2000)"
5042,Small Time Crooks (2000)
5043,Blue Sky (1994)
5044,Heavy (1995)
5045,Kansas City (1996)
5046,Bananas (1971)
5047,"Ruling Class, The (1972)"
5048,Diva (1981)
5049,"Last Days of Disco, The (1998)"
5050,Tom Jones (1963)
5051,Atlantic City (1980)
5052,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975)
5053,Married to the Mob (1988)
5054,Stardust Memories (1980)
5055,Mona Lisa (1986)
5056,Pink Flamingos (1972)
5057,"Long Goodbye, The (1973)"
5058,"Mosquito Coast, The (1986)"
5059,Radio Days (1987)
5060,Heaven Can Wait (1978)
5061,"Hard Day's Night, A (1964)"
5062,Help! (1965)
5063,Fitzcarraldo (1982)
5064,"Taming of the Shrew, The (1967)"
5065,Irma la Douce (1963)
5066,My Man Godfrey (1957)
5067,Bonfire of the Vanities (1990)
5068,Grand Illusion (La grande illusion) (1937)
5069,"Two Jakes, The (1990)"
5070,Carnal Knowledge (1971)
5071,"Last Detail, The (1973)"
5072,"Zed & Two Noughts, A (1985)"
5073,Woman in the Dunes (Suna no onna) (1964)
5074,Minnie and Moskowitz (1971)
5075,Born Yesterday (1950)
5076,Hud (1963)
5077,Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000) (1976)
5078,"Son of the Sheik, The (1926)"
5079,Solaris (Solyaris) (1972)
5080,North Dallas Forty (1979)
5081,Mermaids (1990)
5082,"French Lieutenant's Woman, The (1981)"
5083,Flirting (1991)
5084,All or Nothing (2002)
5085,Ragtime (1981)
5086,Ali: Fear Eats the Soul (Angst essen Seele auf) (1974)
5087,10 (1979)
5088,Death in Venice (Morte a Venezia) (1971)
5089,Amarcord (1973)
5090,Foul Play (1978)
5091,Au revoir les enfants (1987)
5092,Bob & Carol & Ted & Alice (1969)
5093,Overboard (1987)
5094,California Split (1974)
5095,Smooth Talk (1985)
5096,Jack Frost (1998)
5097,11:14 (2003)
5098,10th & Wolf (2006)
5099,"11th Hour, The (2007)"
5100,Farinelli: il castrato (1994)
5101,"Visitors, The (Visiteurs, Les) (1993)"
5102,Maximum Risk (1996)
5103,Loser (1991)
5104,Mina Tannenbaum (1994)
5105,U Turn (1997)
5106,Mouse Hunt (1997)
5107,"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)"
5108,Friday the 13th Part VI: Jason Lives (1986)
5109,Herbie Goes to Monte Carlo (1977)
5110,Snake Eyes (1998)
5111,"NeverEnding Story II: The Next Chapter, The (1990)"
5112,Sabotage (1936)
5113,Hero (1992)
5114,Beloved (1998)
5115,"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)"
5116,King Kong (1976)
5117,Battle for the Planet of the Apes (1973)
5118,"Mission, The (1986)"
5119,Allan Quatermain and the Lost City of Gold (1987)
5120,"Yards, The (2000)"
5121,Damien: Omen II (1978)
5122,Iron Eagle IV (1995)
5123,Crazy in Alabama (1999)
5124,RoboCop 2 (1990)
5125,East-West (Est-ouest) (1999)
5126,Carnosaur (1993)
5127,Loser (2000)
5128,American Gigolo (1980)
5129,Cecil B. DeMented (2000)
5130,Godzilla 2000 (Gojira ni-sen mireniamu) (1999)
5131,Supergirl (1984)
5132,Panic (2000)
5133,Bully (2001)
5134,Ghosts of Mars (2001)
5135,Dreamcatcher (2003)
5136,"My Father the Hero (Mon père, ce héros.) (1991)"
5137,Confidence (2003)
5138,Swimming Pool (2003)
5139,Powaqqatsi (1988)
5140,My Super Ex-Girlfriend (2006)
5141,"Object of My Affection, The (1998)"
5142,"Odd Couple II, The (1998)"
5143,Titanic (1953)
5144,"Big Boss, The (Fists of Fury) (Tang shan da xiong) (1971)"
5145,Divine Secrets of the Ya-Ya Sisterhood (2002)
5146,Tadpole (2002)
5147,Possession (2002)
5148,Simone (S1m0ne) (2002)
5149,Max (2002)
5150,Thoroughly Modern Millie (1967)
5151,"Man Who Shot Liberty Valance, The (1962)"
5152,"Corbeau, Le (Raven, The) (1943)"
5153,Zelig (1983)
5154,Advise and Consent (1962)
5155,"Battle of Algiers, The (La battaglia di Algeri) (1966)"
5156,Divorce - Italian Style (Divorzio all'italiana) (1961)
5157,Babes in Toyland (1961)
5158,Newsies (1992)
5159,Left Behind: The Movie (2000)
5160,"Fantasticks, The (1995)"
5161,Pootie Tang (2001)
5162,Riding in Cars with Boys (2001)
5163,Fame (1980)
5164,Lord of the Flies (1990)
5165,Kissing Jessica Stein (2001)
5166,1776 (1972)
5167,Drumline (2002)
5168,Blue Collar Comedy Tour: The Movie (2003)
5169,View from the Top (2003)
5170,It Runs in the Family (2003)
5171,"Man on the Train (Homme du train, L') (2002)"
5172,Camp (2003)
5173,"Witches, The (1990)"
5174,Jesus Christ Superstar (1973)
5175,42nd Street (1933)
5176,Oklahoma! (1955)
5177,Brigadoon (1954)
5178,Trees Lounge (1996)
5179,SubUrbia (1997)
5180,Meteor (1979)
5181,Silent Running (1972)
5182,You Got Served (2004)
5183,Raising Helen (2004)
5184,Raise Your Voice (2004)
5185,Me and You and Everyone We Know (2005)
5186,Stay (2005)
5187,When a Stranger Calls (2006)
5188,Take the Lead (2006)
5189,Step Up (2006)
5190,Grand Hotel (1932)
5191,Mutiny on the Bounty (1935)
5192,Mrs. Miniver (1942)
5193,"Lost Weekend, The (1945)"
5194,"Poseidon Adventure, The (1972)"
5195,Rope (1948)
5196,Only Angels Have Wings (1939)
5197,"Asphalt Jungle, The (1950)"
5198,"Flintstones in Viva Rock Vegas, The (2000)"
5199,Anatomy of a Murder (1959)
5200,Woman on Top (2000)
5201,"Adventures of Ichabod and Mr. Toad, The (1949)"
5202,"Now, Voyager (1942)"
5203,Clockstoppers (2002)
5204,Enough (2002)
5205,Bringing Down the House (2003)
5206,Destry Rides Again (1939)
5207,Winchester '73 (1950)
5208,From Justin to Kelly (2003)
5209,Agent Cody Banks (2003)
5210,Yankee Doodle Dandy (1942)
5211,Little Women (1949)
5212,"Birth of a Nation, The (1915)"
5213,Jezebel (1938)
5214,Adam's Rib (1949)
5215,Peter Pan (2003)
5216,To Have and Have Not (1944)
5217,Reefer Madness (a.k.a. Tell Your Children) (1938)
5218,Intolerance: Love's Struggle Throughout the Ages (1916)
5219,"Thief of Bagdad, The (1924)"
5220,Jersey Girl (2004)
5221,Scooby-Doo 2: Monsters Unleashed (2004)
5222,"Postman Always Rings Twice, The (1946)"
5223,Angels with Dirty Faces (1938)
5224,Our Hospitality (1923)
5225,"Bachelor and the Bobby-Soxer, The (1947)"
5226,"Snake Pit, The (1948)"
5227,Cellular (2004)
5228,Alfie (2004)
5229,"Invisible Man Returns, The (1940)"
5230,"Hunchback of Notre Dame, The (1923)"
5231,Sherlock Jr. (1924)
5232,"Andalusian Dog, An (Chien andalou, Un) (1929)"
5233,Gold Diggers of 1933 (1933)
5234,Mr. Deeds Goes to Town (1936)
5235,Wuthering Heights (1939)
5236,Mr. Skeffington (1944)
5237,Ju-on: The Grudge (2002)
5238,Gold Diggers of 1935 (1935)
5239,Monster-in-Law (2005)
5240,"Sisterhood of the Traveling Pants, The (2005)"
5241,Must Love Dogs (2005)
5242,Red Eye (2005)
5243,Prime (2005)
5244,Rent (2005)
